observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
0,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,50.00,Woman,1.00,77.00,Retired,Democrat
1,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,1.00,Man,2.00,59.00,Part-time,Republican
2,Yes,Yes,4 - Several times a week,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,No,3 - About once a day,Does not use,3 - About once a day,Does not use,Does not use,3.00,Woman,2.00,60.00,Retired,Independent
3,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,30.00,Man,1.00,73.00,Part-time,Democrat
4,Yes,Yes,1 - Almost constantly,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,3 - About once a day,3 - About once a day,Does not use,4 - Several times a week,40.00,Woman,2.00,65.00,Retired,Democrat
5,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,2 - Several times a day,2 - Several times a day,Does not use,3 - About once a day,4.00,Woman,1.00,62.00,Full-time,Democrat
6,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,3 - About once a day,0.00,Woman,2.00,70.00,Not employed,Democrat
7,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,94.00,Retired,Republican
8,Yes,Yes,2 - Several times a day,Yes,Yes,Both low and high speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,3 - About once a day,97+,Woman,2.00,65.00,Retired,Independent
9,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,10.00,Woman,2.00,,Part-time,Independent
10,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,Yes,2 - Several times a day,Does not use,2 - Several times a day,Does not use,5 - Few times a month or less,80.00,Woman,1.00,55.00,Full-time,Democrat
11,Yes,No,2 - Several times a day,No,Yes,Higher-speed,No,No cell phone,3 - Rarely,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,3.00,Man,2.00,80.00,Retired,Democrat
12,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,No,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,8.00,Man,2.00,68.00,Retired,Independent
13,Yes,Yes,3 - About once a day,No,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,96.00,Woman,1.00,79.00,Retired,Independent
14,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,2 - Several times a day,1 - Almost constantly,4 - Several times a week,2 - Several times a day,25.00,Man,3.00,49.00,Full-time,Democrat
15,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,6.00,Woman,2.00,77.00,Retired,Independent
16,Yes,Yes,3 - About once a day,No,Yes,Don't Know,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,5 - Few times a month or less,0.00,Man,2.00,72.00,Retired,Republican
17,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,5.00,Woman,1.00,75.00,Retired,Democrat
18,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,2 - Several times a day,3.00,Woman,3.00,55.00,Part-time,Independent
19,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,3 - About once a day,5 - Few times a month or less,1 - Almost constantly,1 - Almost constantly,2 - Several times a day,25.00,Woman,3.00,39.00,Full-time,Republican
20,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,80.00,Man,4.00,65.00,Retired,Democrat
21,Yes,Yes,4 - Several times a week,No,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,3.00,70.00,Part-time,Republican
22,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,4 - Several times a week,Does not use,5 - Few times a month or less,20.00,Woman,2.00,,Retired,
23,Yes,No,3 - About once a day,Yes,Yes,Higher-speed,Yes,No,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,3 - About once a day,Does not use,4 - Several times a week,0.00,Man,3.00,80.00,Retired,Republican
24,Yes,No,2 - Several times a day,Yes,Yes,Higher-speed,No,No cell phone,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,1 - Almost constantly,6.00,Man,2.00,63.00,Retired,Republican
25,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,0.00,Woman,1.00,74.00,Retired,Democrat
26,Yes,No,3 - About once a day,No,Yes,Higher-speed,No,No cell phone,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,25.00,Man,1.00,59.00,Not employed,Democrat
27,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,10.00,Woman,1.00,83.00,Retired,Democrat
28,Yes,No,1 - Almost constantly,No,Yes,Higher-speed,No,No cell phone,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,2 - Several times a day,12.00,Man,,,,
29,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,4 - Never,No,Yes,Yes,No,Yes,Does not use,1 - Almost constantly,1 - Almost constantly,Does not use,2 - Several times a day,40.00,Woman,2.00,75.00,Retired,Democrat
30,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Woman,1.00,86.00,Retired,Democrat
31,No,No,No Internet,No,No,No internet subscription,No,No cell phone,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,20.00,Man,1.00,70.00,Retired,Independent
32,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,No,No,Yes,3 - About once a day,Does not use,Does not use,Does not use,5 - Few times a month or less,6.00,Woman,1.00,70.00,Retired,Democrat
33,Yes,No,2 - Several times a day,Yes,Yes,Higher-speed,No,No cell phone,4 - Never,No,No,Yes,No,No,Does not use,Does not use,1 - Almost constantly,Does not use,Does not use,50.00,Woman,1.00,83.00,Retired,Democrat
34,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,2 - Sometimes,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,25.00,Man,1.00,64.00,Retired,Republican
35,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,No,Yes,No,Yes,2 - Several times a day,Does not use,4 - Several times a week,Does not use,3 - About once a day,24.00,Woman,1.00,82.00,Retired,Democrat
36,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,2 - Sometimes,Yes,No,Yes,No,No,2 - Several times a day,Does not use,1 - Almost constantly,Does not use,Does not use,1.00,Man,,66.00,Not employed,
37,Yes,No,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,No,No,Yes,No,No,Does not use,Does not use,2 - Several times a day,Does not use,Does not use,97+,Woman,6.00,71.00,Not employed,Republican
38,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,3.00,Woman,1.00,79.00,Retired,Democrat
39,Yes,Yes,2 - Several times a day,No,Yes,Both low and high speed,Yes,Yes,4 - Never,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,1 - Almost constantly,2.00,Man,6.00,74.00,Retired,
40,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,Yes,Yes,No,Yes,Does not use,5 - Few times a month or less,2 - Several times a day,Does not use,5 - Few times a month or less,10.00,Woman,2.00,73.00,Retired,Independent
